anchor,positive,negative
core/Jh7diIdyGUs.mp4,core/wrC_Uqk3juY.mp4,distraction/0019/5qMOZ5WFZkc.mp4
core/Jh7diIdyGUs.mp4,core/wrC_Uqk3juY.mp4,distraction/0069/Nd2UW7CTMcs.mp4
core/wrC_Uqk3juY.mp4,core/5Dn0V6lmtcI.mp4,distraction/0138/lX-aNjYQ1kg.mp4
core/wrC_Uqk3juY.mp4,core/5Dn0V6lmtcI.mp4,distraction/0097/XbYkil_zuXY.mp4
core/wrC_Uqk3juY.mp4,core/5Dn0V6lmtcI.mp4,distraction/0148/p-p2HYg_Ys4.mp4
core/wrC_Uqk3juY.mp4,core/5Dn0V6lmtcI.mp4,distraction/0108/afRGTSkVyLw.mp4
core/wrC_Uqk3juY.mp4,core/5Dn0V6lmtcI.mp4,distraction/0022/6psQRdm8BO0.mp4
core/-2bvWS2TL2g.mp4,core/wrC_Uqk3juY.mp4,distraction/0021/6U75uHww7dI.mp4
core/-2bvWS2TL2g.mp4,core/wrC_Uqk3juY.mp4,distraction/0172/xsrfZY3GJgo.mp4
core/-2bvWS2TL2g.mp4,core/wrC_Uqk3juY.mp4,distraction/0046/FKiQQrjeyX4.mp4
core/-2bvWS2TL2g.mp4,core/wrC_Uqk3juY.mp4,distraction/0013/3P78icK6Lwk.mp4
core/-2bvWS2TL2g.mp4,core/wrC_Uqk3juY.mp4,distraction/0048/G2QWfwn1qD0.mp4
core/wrC_Uqk3juY.mp4,core/DCUVdoT9Xgs.mp4,distraction/0056/Iqhte6MOOHo.mp4
core/wrC_Uqk3juY.mp4,core/DCUVdoT9Xgs.mp4,distraction/0024/7NX2FNMzAUA.mp4
core/wrC_Uqk3juY.mp4,core/DCUVdoT9Xgs.mp4,distraction/0164/uxQRka0UQ5Y.mp4
core/wrC_Uqk3juY.mp4,core/DCUVdoT9Xgs.mp4,distraction/0065/MGRQxMn6mxs.mp4
core/wrC_Uqk3juY.mp4,core/DCUVdoT9Xgs.mp4,distraction/0015/4EOVkURi9n4.mp4
core/DCUVdoT9Xgs.mp4,core/wrC_Uqk3juY.mp4,distraction/0161/tXWdzELrlb0.mp4
core/DCUVdoT9Xgs.mp4,core/wrC_Uqk3juY.mp4,distraction/0096/XMUWZIFMQF0.mp4
core/DCUVdoT9Xgs.mp4,core/wrC_Uqk3juY.mp4,distraction/0050/GfG2A_HSy4k.mp4
core/DCUVdoT9Xgs.mp4,core/wrC_Uqk3juY.mp4,distraction/0129/iCrOFXfw7XQ.mp4
core/DCUVdoT9Xgs.mp4,core/wrC_Uqk3juY.mp4,distraction/0138/lW_IMFMMBU8.mp4
core/QVwK4Oa8yZw.mp4,core/Ql15rKfPtgE.mp4,distraction/0055/IgV37sbf16w.mp4
core/QVwK4Oa8yZw.mp4,core/Ql15rKfPtgE.mp4,distraction/0004/0IxIILtwWAY.mp4
core/Ql15rKfPtgE.mp4,core/H0QFB8vr5BQ.mp4,distraction/0069/NTtN39hdW_g.mp4
core/Ql15rKfPtgE.mp4,core/H0QFB8vr5BQ.mp4,distraction/0091/VT2nfKAcj1k.mp4
core/Ql15rKfPtgE.mp4,core/H0QFB8vr5BQ.mp4,distraction/0117/dinabpQmMFI.mp4
core/Ql15rKfPtgE.mp4,core/H0QFB8vr5BQ.mp4,distraction/0043/ETzUX38RjF4.mp4
core/Ql15rKfPtgE.mp4,core/H0QFB8vr5BQ.mp4,distraction/0162/u1t7X-1SRKE.mp4
core/H0QFB8vr5BQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0127/hHYj2M9UsLI.mp4
core/H0QFB8vr5BQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0054/IKTdbUZg6Sg.mp4
core/H0QFB8vr5BQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0090/V0nd4bSFG-8.mp4
core/H0QFB8vr5BQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0096/XD4X0_ZVz9E.mp4
core/H0QFB8vr5BQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0019/5amm_vc-S10.mp4
core/Ql15rKfPtgE.mp4,core/2XrJW-PwQgQ.mp4,distraction/0101/YunGnNyJI0o.mp4
core/Ql15rKfPtgE.mp4,core/2XrJW-PwQgQ.mp4,distraction/0172/xp4XLrWt58c.mp4
core/Ql15rKfPtgE.mp4,core/2XrJW-PwQgQ.mp4,distraction/0087/TzHfMF_Ll8c.mp4
core/Ql15rKfPtgE.mp4,core/2XrJW-PwQgQ.mp4,distraction/0010/2_cmveJ0a7M.mp4
core/Ql15rKfPtgE.mp4,core/2XrJW-PwQgQ.mp4,distraction/0168/wBiw1Mnc2mo.mp4
core/2XrJW-PwQgQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0015/49_eFukCFQg.mp4
core/2XrJW-PwQgQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0122/fXlu94BfTXE.mp4
core/2XrJW-PwQgQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0143/nCYD9GmoQKc.mp4
core/2XrJW-PwQgQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0138/lKDk5CXCDL4.mp4
core/2XrJW-PwQgQ.mp4,core/Ql15rKfPtgE.mp4,distraction/0081/RnLJV9cdDUo.mp4
core/CNc-H2Jjw2Q.mp4,core/Ql15rKfPtgE.mp4,distraction/0122/fcxpzDE3K3Q.mp4
core/CNc-H2Jjw2Q.mp4,core/Ql15rKfPtgE.mp4,distraction/0066/MZsDp0DsnQI.mp4
core/CNc-H2Jjw2Q.mp4,core/Ql15rKfPtgE.mp4,distraction/0068/NINiHMr7Exc.mp4
core/CNc-H2Jjw2Q.mp4,core/Ql15rKfPtgE.mp4,distraction/0157/s9LKRUUgXSw.mp4
core/CNc-H2Jjw2Q.mp4,core/Ql15rKfPtgE.mp4,distraction/0061/KnuFi03bD7Y.mp4
core/Ql15rKfPtgE.mp4,core/arBqt8ERS6I.mp4,distraction/0114/ccUG3g9AKk0.mp4
core/Ql15rKfPtgE.mp4,core/arBqt8ERS6I.mp4,distraction/0009/1uh7ueNhCNE.mp4
core/Ql15rKfPtgE.mp4,core/arBqt8ERS6I.mp4,distraction/0057/JQ8UvAoMXls.mp4
core/Ql15rKfPtgE.mp4,core/arBqt8ERS6I.mp4,distraction/0035/BK_xL46_Y1Q.mp4
core/Ql15rKfPtgE.mp4,core/arBqt8ERS6I.mp4,distraction/0033/Aenwt4Ck98o.mp4
core/Ql15rKfPtgE.mp4,core/4wzE9DYvjyM.mp4,distraction/0020/68olqrpAnAE.mp4
core/Ql15rKfPtgE.mp4,core/4wzE9DYvjyM.mp4,distraction/0106/_yNHFzGrRyk.mp4
core/Ql15rKfPtgE.mp4,core/4wzE9DYvjyM.mp4,distraction/0031/A-ZoFOSx4YU.mp4
core/Ql15rKfPtgE.mp4,core/4wzE9DYvjyM.mp4,distraction/0087/TvzCgsk1YyQ.mp4
core/Ql15rKfPtgE.mp4,core/4wzE9DYvjyM.mp4,distraction/0070/NzVNPHQ9FTY.mp4
core/Ql15rKfPtgE.mp4,core/8wjXLjmlDeE.mp4,distraction/0112/bxHmUPKTHH8.mp4
core/Ql15rKfPtgE.mp4,core/8wjXLjmlDeE.mp4,distraction/0014/3jo-ngnIqYk.mp4
core/Ql15rKfPtgE.mp4,core/8wjXLjmlDeE.mp4,distraction/0037/CJRM79Xonds.mp4
core/Ql15rKfPtgE.mp4,core/8wjXLjmlDeE.mp4,distraction/0159/t74mW95Rdpc.mp4
core/Ql15rKfPtgE.mp4,core/8wjXLjmlDeE.mp4,distraction/0044/Edjbdja0ml8.mp4
core/8wjXLjmlDeE.mp4,core/Ql15rKfPtgE.mp4,distraction/0076/QD7y_W9jT0g.mp4
core/8wjXLjmlDeE.mp4,core/Ql15rKfPtgE.mp4,distraction/0074/PWc9x8i7Nno.mp4
core/8wjXLjmlDeE.mp4,core/Ql15rKfPtgE.mp4,distraction/0060/KOIs_a_K9DA.mp4
core/8wjXLjmlDeE.mp4,core/Ql15rKfPtgE.mp4,distraction/0135/kFnmUYWmA3s.mp4
core/8wjXLjmlDeE.mp4,core/Ql15rKfPtgE.mp4,distraction/0055/Ik7VN5u9-6w.mp4
core/Ql15rKfPtgE.mp4,core/I39aCIZG4bw.mp4,distraction/0067/MgEOu6mTmRI.mp4
core/Ql15rKfPtgE.mp4,core/I39aCIZG4bw.mp4,distraction/0157/s8jHEyvbuzY.mp4
core/Ql15rKfPtgE.mp4,core/I39aCIZG4bw.mp4,distraction/0121/f3Qvh8tFUAI.mp4
core/Ql15rKfPtgE.mp4,core/I39aCIZG4bw.mp4,distraction/0171/xUkThwehb1o.mp4
core/Ql15rKfPtgE.mp4,core/I39aCIZG4bw.mp4,distraction/0136/kYKMfaUeOQw.mp4
core/I39aCIZG4bw.mp4,core/Ql15rKfPtgE.mp4,distraction/0115/cwW5kONrLCs.mp4
core/I39aCIZG4bw.mp4,core/Ql15rKfPtgE.mp4,distraction/0158/shLfjd7gSco.mp4
core/I39aCIZG4bw.mp4,core/Ql15rKfPtgE.mp4,distraction/0112/c5N7cGGz8jA.mp4
core/I39aCIZG4bw.mp4,core/Ql15rKfPtgE.mp4,distraction/0077/QP2AH6zTMZw.mp4
core/I39aCIZG4bw.mp4,core/Ql15rKfPtgE.mp4,distraction/0150/p_ED_5z-APA.mp4
core/Ql15rKfPtgE.mp4,core/OX8FIEde2fw.mp4,distraction/0014/3u7xXXdhTKk.mp4
core/Ql15rKfPtgE.mp4,core/OX8FIEde2fw.mp4,distraction/0151/qEbmEZwmsts.mp4
core/Ql15rKfPtgE.mp4,core/OX8FIEde2fw.mp4,distraction/0110/bOLXoX8D0J0.mp4
core/Ql15rKfPtgE.mp4,core/OX8FIEde2fw.mp4,distraction/0164/uxhWMhVX5aY.mp4
core/Ql15rKfPtgE.mp4,core/OX8FIEde2fw.mp4,distraction/0110/bM2IFoLu1Rw.mp4
core/OX8FIEde2fw.mp4,core/Ql15rKfPtgE.mp4,distraction/0063/LUQRoQ5IgU0.mp4
core/OX8FIEde2fw.mp4,core/Ql15rKfPtgE.mp4,distraction/0006/14kZm8Ca16w.mp4
core/OX8FIEde2fw.mp4,core/Ql15rKfPtgE.mp4,distraction/0085/TUPmp5JxMU0.mp4
core/OX8FIEde2fw.mp4,core/Ql15rKfPtgE.mp4,distraction/0013/3amM0iDV6Gk.mp4
core/OX8FIEde2fw.mp4,core/Ql15rKfPtgE.mp4,distraction/0026/8BThwO3Bu-A.mp4
core/fRSqexCYdug.mp4,core/Ql15rKfPtgE.mp4,distraction/0047/Ff_5nkdwasI.mp4
core/fRSqexCYdug.mp4,core/Ql15rKfPtgE.mp4,distraction/0084/T-T1jCnILsY.mp4
core/fRSqexCYdug.mp4,core/Ql15rKfPtgE.mp4,distraction/0102/ZRloSb8SI3Q.mp4
core/fRSqexCYdug.mp4,core/Ql15rKfPtgE.mp4,distraction/0077/QZOLdQeTN5I.mp4
core/Ql15rKfPtgE.mp4,core/AQnF4T5v2FA.mp4,distraction/0021/6ZEEQ1YVmLU.mp4
core/Ql15rKfPtgE.mp4,core/AQnF4T5v2FA.mp4,distraction/0052/HTWQVAqf-P8.mp4
core/Ql15rKfPtgE.mp4,core/AQnF4T5v2FA.mp4,distraction/0077/QZaxOgRgCzc.mp4
core/Ql15rKfPtgE.mp4,core/AQnF4T5v2FA.mp4,distraction/0072/Om2cTn8dC0Q.mp4
core/Ql15rKfPtgE.mp4,core/AQnF4T5v2FA.mp4,distraction/0102/ZN-k1eJrfVY.mp4
core/AQnF4T5v2FA.mp4,core/Ql15rKfPtgE.mp4,distraction/0170/wnrajD0at0U.mp4
core/AQnF4T5v2FA.mp4,core/Ql15rKfPtgE.mp4,distraction/0095/WnLv_4m2eZI.mp4
core/AQnF4T5v2FA.mp4,core/Ql15rKfPtgE.mp4,distraction/0098/Xyj9VuFUVkE.mp4
core/AQnF4T5v2FA.mp4,core/Ql15rKfPtgE.mp4,distraction/0118/eGAVo1u_FJY.mp4
core/AQnF4T5v2FA.mp4,core/Ql15rKfPtgE.mp4,distraction/0053/I-eMdwngack.mp4
core/Ql15rKfPtgE.mp4,core/_MkoqPQ2R9A.mp4,distraction/0081/S0_ANqwuCzA.mp4
core/Ql15rKfPtgE.mp4,core/_MkoqPQ2R9A.mp4,distraction/0101/Z2o2WODtg4c.mp4
core/Ql15rKfPtgE.mp4,core/_MkoqPQ2R9A.mp4,distraction/0015/49xgaaU__9g.mp4
core/Ql15rKfPtgE.mp4,core/_MkoqPQ2R9A.mp4,distraction/0160/tWCm8idm3Zc.mp4
core/Ql15rKfPtgE.mp4,core/_MkoqPQ2R9A.mp4,distraction/0037/Bz7ps2XlCRk.mp4
core/_MkoqPQ2R9A.mp4,core/Ql15rKfPtgE.mp4,distraction/0065/M5E24eiYkVA.mp4
core/_MkoqPQ2R9A.mp4,core/Ql15rKfPtgE.mp4,distraction/0120/eqEZMdztTXQ.mp4
core/_MkoqPQ2R9A.mp4,core/Ql15rKfPtgE.mp4,distraction/0167/vulstxs7CH4.mp4
core/_MkoqPQ2R9A.mp4,core/Ql15rKfPtgE.mp4,distraction/0129/iFPMHl2w_wQ.mp4
core/_MkoqPQ2R9A.mp4,core/Ql15rKfPtgE.mp4,distraction/0083/SihR09vncH0.mp4
core/Ql15rKfPtgE.mp4,core/Gv5bD4PliGs.mp4,distraction/0168/wMG0xOFAduU.mp4
core/Ql15rKfPtgE.mp4,core/Gv5bD4PliGs.mp4,distraction/0173/yA-jYiS58uA.mp4
core/Ql15rKfPtgE.mp4,core/Gv5bD4PliGs.mp4,distraction/0064/Lrv8HRlA-NQ.mp4
core/Ql15rKfPtgE.mp4,core/Gv5bD4PliGs.mp4,distraction/0161/tmbf96P5o6c.mp4
core/Ql15rKfPtgE.mp4,core/Gv5bD4PliGs.mp4,distraction/0150/ptk3WmhX8es.mp4
core/Gv5bD4PliGs.mp4,core/Ql15rKfPtgE.mp4,distraction/0128/hrjOz3QtjKQ.mp4
core/Gv5bD4PliGs.mp4,core/Ql15rKfPtgE.mp4,distraction/0053/HqDg1TjbW7s.mp4
core/Gv5bD4PliGs.mp4,core/Ql15rKfPtgE.mp4,distraction/0097/XgWk3DuEDdM.mp4
core/Gv5bD4PliGs.mp4,core/Ql15rKfPtgE.mp4,distraction/0063/LMcMUL1ZxeU.mp4
core/Gv5bD4PliGs.mp4,core/Ql15rKfPtgE.mp4,distraction/0053/HzdquiB6yjs.mp4
core/bPXEi-LX5m8.mp4,core/5MBA_7vDhII.mp4,distraction/0123/fqpQe2TdsBI.mp4
core/bPXEi-LX5m8.mp4,core/5MBA_7vDhII.mp4,distraction/0021/6Ubzk2j5Jek.mp4
core/bPXEi-LX5m8.mp4,core/5MBA_7vDhII.mp4,distraction/0044/EnjzIvpV8Bw.mp4
core/bPXEi-LX5m8.mp4,core/5MBA_7vDhII.mp4,distraction/0103/ZhKGrVV2aWg.mp4
core/bPXEi-LX5m8.mp4,core/5MBA_7vDhII.mp4,distraction/0073/Ot99PuNIoxs.mp4

